Citation,Article Title,DOI,Wetland name,System,Class,Regime,Artificial,CW Water Chem,CW Soil ,Additional Modifiers,Source,Number Pools,Landuse,Nutrient Event Sampling,Category,Data_year first year of sampling,Location,Watershed Area (km^2),Lat,Long,Frequency,Age (years),Years monitored,Surface.area,What is P measured in?,How,Load_method,Notes,Article Title,TPloading g.m2.y,%retention,TPretention g.m2.y,Wetland name,Wetland.name,clusters8
Hoffmann 2012,Low phosphorus release but high nitrogen removal in two restored riparian wetlands inundated with agricultural drainage water,10.1016/j.ecoleng.2012.04.039,Egeskov Wetland,Riverine - Lower Perennial,Floodplain meadow,Intermittently Flooded,Y,Neutral,No data,,Runoff,NA,Agriculture,N,Floodplain,,Denmark,0.045,55.15030216,10.50018114,weekly,5,2,0.6,Water,ISCO,ISCO,,Low phosphorus release but high nitrogen removal in two restored riparian wetlands inundated with agricultural drainage water,0.13,6,0,Egeskov Wetland,Egeskov Wetland,4
Hoffmann 2012,Low phosphorus release but high nitrogen removal in two restored riparian wetlands inundated with agricultural drainage water,,Stor A Wetland,Riverine - Lower Perennial,Floodplain meadow,Intermittently Flooded,Y,Neutral,No data,,Runoff,NA,Agriculture,Pooled Samples (autosampler)),Floodplain,,Denmark,0.24,55.48341839,9.983386941,weekly,5,2,0.58,Water,ISCO,ISCO,,Low phosphorus release but high nitrogen removal in two restored riparian wetlands inundated with agricultural drainage water,0.15,-22,-0.06,Stor A Wetland,Stor A Wetland,4
Hu 2019,Purification of leachate from sludge treatment beds by subsurface flow constructed wetlands: effects of plants and hydraulic retention time,10.1007/s11356-018-4006-7,Planted,Palustrine,Emergent,Permanently Flooded,Y,Neutral,No data,WWT,Wastewater,1,Urban,N,Flow through,,China,NA,29.96678181,115.0832998,weekly,1,1,0.00002,Water,Constant,Constant,subsurface flow CW,Purification of leachate from sludge treatment beds by subsurface flow constructed wetlands: effects of plants and hydraulic retention time,1.46,50,0.73,Planted,Planted,1
Hu 2019,Purification of leachate from sludge treatment beds by subsurface flow constructed wetlands: effects of plants and hydraulic retention time,,Unplanted,Palustrine,Unconsolidated Bottom,Permanently Flooded,Y,Neutral,No data,WWT,Wastewater,1,Urban,N,Flow through,,China,NA,29.96678181,115.0832998,weekly,1,1,0.00002,Water,Constant,Constant,subsurface flow CW,Purification of leachate from sludge treatment beds by subsurface flow constructed wetlands: effects of plants and hydraulic retention time,3.65,30,1.1,Unplanted,Unplanted,1
Jablonska 2021,Impact of vegetation harvesting on nutrient removal and plant biomass quality in wetland buffer zones,10.1007/s10750-020-04256-4,m1,Riverine - Lower Perennial,Emergent,Permanently Flooded,N,No data,Organic,WWT,Stream/River,N/A,Wetland,N,Floodplain,2017,Poland,,52.61466144,21.04658087,seasonally,NA,1,0.36,Water,NA,NA,u and m refer to mowed and unmowed respectively.,Impact of vegetation harvesting on nutrient removal and plant biomass quality in wetland buffer zones,NA,56.22,NA,m1,m1,2
Jablonska 2021,Impact of vegetation harvesting on nutrient removal and plant biomass quality in wetland buffer zones,,u1,Riverine - Lower Perennial,Emergent,Permanently Flooded,N,No data,Organic,,Stream/River,N/A,Wetland,N,Floodplain,2017,Poland,,52.61350474,21.04759403,seasonally,NA,1,0.36,Water,NA,NA,u and m refer to mowed and unmowed respectively.,Impact of vegetation harvesting on nutrient removal and plant biomass quality in wetland buffer zones,NA,54.13,NA,u1,u1,2
Jablonska 2021,Impact of vegetation harvesting on nutrient removal and plant biomass quality in wetland buffer zones,,m2,Riverine - Lower Perennial,Emergent,Permanently Flooded,N,No data,Organic,,Stream/River,N/A,Wetland,N,Floodplain,2017,Poland,,52.60980035,21.05537378,seasonally,NA,1,0.36,Water,NA,NA,u and m refer to mowed and unmowed respectively.,Impact of vegetation harvesting on nutrient removal and plant biomass quality in wetland buffer zones,NA,16.79,NA,m2,m2,2
Jablonska 2021,Impact of vegetation harvesting on nutrient removal and plant biomass quality in wetland buffer zones,,u2,Riverine - Lower Perennial,Emergent,Permanently Flooded,N,No data,Organic,,Stream/River,N/A,Wetland,N,Floodplain,2017,Poland,,52.60949137,21.05690148,seasonally,NA,1,0.36,Water,NA,NA,u and m refer to mowed and unmowed respectively.,Impact of vegetation harvesting on nutrient removal and plant biomass quality in wetland buffer zones,NA,77.47,NA,u2,u2,2
Janke 2022,Hydrologic processes regulate nutrient retention in stormwater detention ponds,10.1016/j.scitotenv.2022.153722,Pond C,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,No data,,Urban,,Wetland,Y,Flow through,2017,"US, Minnesota",0.154,45.01453,93.14533,daily,57,1,0.29,Water,ISCO,ISCO,,Hydrologic processes regulate nutrient retention in stormwater detention ponds,2.6,66,1.72,Pond C,Pond C,2
Janke 2022,Hydrologic processes regulate nutrient retention in stormwater detention ponds,,Pond E,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,No data,,Urban,,Urban,Y,Flow through,2017,"US, Minnesota",1.153,45.01453,93.14533,daily,57,1,1.17,Water,ISCO,ISCO,,Hydrologic processes regulate nutrient retention in stormwater detention ponds,5.8,26,1.51,Pond E,Pond E,2
Janke 2022,Hydrologic processes regulate nutrient retention in stormwater detention ponds,,Pond D,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,No data,,Urban,,Wetland,Y,Flow through,2017,"US, Minnesota",0.018,45.01453,93.14533,daily,25,1,0.057,Water,ISCO,ISCO,,Hydrologic processes regulate nutrient retention in stormwater detention ponds,1.3,79,1.03,Pond D,Pond D,2
Jó?wiakowski 2018,The efficiency and technological reliability of biogenic compounds removal during long-term operation of a one-stage subsurface horizontal flow constructed wetland,10.1016/j.seppur.2018.03.058,Jastków CW,Palustrine,Emergent,Saturated,Y,Alkaline,Mineral,WWT,Wastewater,1,Urban,N,Flow through,1997,Poland,,51.30004693,22.43331184,seasonally,3,13,0.0186,Water,NA,NA,,The efficiency and technological reliability of biogenic compounds removal during long-term operation of a one-stage subsurface horizontal flow constructed wetland,54.31,75.4,40.95,Jastków CW,Jastków CW,1
Johannesson 2011,Efficiency of a constructed wetland for retention of sediment-associated phosphorus,10.1007/s10750-011-0728-y,S. Stene wetland,Palustrine,Emergent,Semipermanently Flooded,N,No data,Mineral,WWT,Runoff,1,Agriculture,Y,Flow through,2004,Sweden,0.96,58.99426615,17.37699804,event,4,1,2.1,Water,Event Sampling (then assume Constant,event,Discussion has a lot of good examples of other papers with comparable results. Check these if more needed,Efficiency of a constructed wetland for retention of sediment-associated phosphorus,16.47,17,2.8,S. Stene wetland,S. Stene wetland,3
Jordan 2003,Nutrient and sediment removal by a restored wetland receiving agricultural runoff,10.2134/jeq2003.1534,Restored Wetland - Kent Island,Palustrine,Emergent,Seasonally Flooded,N,Acid,Mineral,,Runoff,1,Agriculture,Y,,1995,"USA, Maryland",0.14,38.99965448,-76.3103814,weekly,9,2,1.3,Water,ISCO,ISCO,Phosphate and TP inputs here were obtained from graphs,Nutrient and sediment removal by a restored wetland receiving agricultural runoff,3.07,24,0.77,Restored Wetland - Kent Island,Restored Wetland - Kent Island,3
Kaldec 2009,Wastewater treatment at the Houghton Lake wetland: Hydrology and water quality,10.1016/j.ecoleng.2008.10.001,Porter Ranch Peatland,Palustrine,Emergent,Intermittently Exposed,Y,Neutral,Organic,Pumped,Wastewater,1,Wetland,N,Flow through,1986,"US, Michigan",,44.35165595,-84.75346145,monthly,NA,30,100,Water,Constant,Constant,,Wastewater treatment at the Houghton Lake wetland: Hydrology and water quality,5.44,94.49,5.14,Porter Ranch Peatland,Porter Ranch Peatland,1
Kaldec 2009A,Wastewater treatment at the Houghton lake wetland: Soils and sediments,10.1016/j.ecoleng.2009.03.004,Porter Ranch Wetland,Palustrine,Scrub Shrub,Seasonally Flooded,N,Neutral,Organic,WWT,Runoff,NA,Wetland,N,Coastal,1978,"US, Michigan",7,44.29888368,-84.78314304,sediment,29,30,100,Sediment,NA,NA,"Same wetland as below, soils instead of waters",Wastewater treatment at the Houghton lake wetland: Soils and sediments,1.87,94,1.76,Porter Ranch Wetland,Porter Ranch Wetland,3
Kaldec 2009B,"Wastewater treatment at Houghton Lake, Michigan: Hydrology and water quality",,Porter Ranch Wetland,Palustrine,Scrub Shrub,Seasonally Flooded,N,Neutral,Organic,WWT,Runoff,NA,Wetland,N,Coastal,1978,"US, Michigan",7,44.29888368,-84.78314304,monthly,29,30,400,Water,Constant,Constant,"Same wetland as above, waters instead of soils","Wastewater treatment at Houghton Lake, Michigan: Hydrology and water quality",1.9,98.53,1.87,Porter Ranch Wetland,Porter Ranch Wetland,3
Kaldec 2010,"Water quality performance of treatment wetlands in the Imperial Valley, California",,Brawley,Palustrine,Emergent,Permanently Flooded,Y,Neutral,No data,Pumped,Stream/River,3,Floodplain,N,Flow through,2001,"US, California",,32.9592837,-115.5700429,biweekly,1,4,1.8,Water,Constant,Constant,,"Water quality performance of treatment wetlands in the Imperial Valley, California",45.3,48,21.74,Brawley,Brawley,2
Kaldec 2010,"Water quality performance of treatment wetlands in the Imperial Valley, California",10.1016/j.ecoleng.2010.04.028,Imperial,Palustrine,Emergent,Permanently Flooded,Y,Neutral,No data,Pumped,Stream/River,5,Floodplain,N,Flow through,2001,"US, California",,32.87511711,-115.6508226,biweekly,1,4,8.6,Water,Constant,Constant,,"Water quality performance of treatment wetlands in the Imperial Valley, California",89.2,35,31.22,Imperial,Imperial,2
Kaldec 2011,Performance analysis of the Richland-Chambers treatment wetlands,,Richland-Chambers Treatment Wetlands Pilot 2,Palustrine,Emergent,Permanently Flooded,Y,Alkaline,Mineral,Pumped,Stream/River,4,Floodplain,N,Flow through,1993,"US, Texas",,31.96673949,-96.06665598,weekly,1,7,0.72,Water,NA,NA,They also did the weird k20 measurement.,Performance analysis of the Richland-Chambers treatment wetlands,514.96,NA,NA,Richland-Chambers Treatment Wetlands Pilot 2,Richland-Chambers Treatment Wetlands Pilot 2,2
Kaldec 2011,Performance analysis of the Richland-Chambers treatment wetlands,,Richland-Chambers Treatment Wetlands Pilot 3,Palustrine,Emergent,Permanently Flooded,Y,Alkaline,Mineral,Pumped,Stream/River,4,Floodplain,N,Flow through,1993,"US, Texas",,31.96673949,-96.06665598,weekly,1,7,0.72,Water,NA,NA,They also did the weird k20 measurement.,Performance analysis of the Richland-Chambers treatment wetlands,514.96,NA,NA,Richland-Chambers Treatment Wetlands Pilot 3,Richland-Chambers Treatment Wetlands Pilot 3,2
Kaldec 2011,Performance analysis of the Richland-Chambers treatment wetlands,10.1016/j.ecoleng.2010.09.003,Richland-Chambers Treatment Wetlands Pilot 1,Palustrine,Emergent,Permanently Flooded,Y,Alkaline,Mineral,Pumped,Stream/River,4,Floodplain,N,Flow through,1993,"US, Texas",,31.96673949,-96.06665598,weekly,1,7,0.72,Water,NA,NA,They also did the weird k20 measurement.,Performance analysis of the Richland-Chambers treatment wetlands,885,NA,NA,Richland-Chambers Treatment Wetlands Pilot 1,Richland-Chambers Treatment Wetlands Pilot 1,2
Kaldec 2011,Performance analysis of the Richland-Chambers treatment wetlands,,Richland-Chambers Treatment Wetlands Field Scale,Palustrine,Emergent,Semipermanently Flooded,N,Alkaline,No data,,Runoff,4,Floodplain,N,Flow through,2003,"US, Texas",,31.96673949,-96.06665598,weekly,1,5,102,Water,NA,NA,They also did the weird k20 measurement.,Performance analysis of the Richland-Chambers treatment wetlands,507.96,NA,NA,Richland-Chambers Treatment Wetlands Field Scale,Richland-Chambers Treatment Wetlands Field Scale,3
Karczmarczyk 2011,Phosphorus Accumulation Pattern in a Subsurface Constructed Wetland Treating Residential Wastewater,10.3390/w3010146,Sadowa CW,Palustrine,Emergent,Permanently Flooded,Y,Neutral,Mineral,WWT,Wastewater,NA,Urban,N,Flow through,2000,Poland,,52.36931852,20.84817672,bimonthly,1,8,0.198,Water,NA,NA,Doesn't contain the actual data on the wetland just references it. Real data is from a paper that's only in polish and unaccesible.,Phosphorus Accumulation Pattern in a Subsurface Constructed Wetland Treating Residential Wastewater,54.75,NA,NA,Sadowa CW,Sadowa CW,1
Karjalainen 2016,Long-term purification efficiency of a wetland constructed to treat runoff from peat extraction,10.1080/10934529.2015.1120519,Kompsasuo Peat Extraction Area,Palustrine,Emergent,Intermittently Exposed,Y,Neutral,Organic,Pumped,Runoff,N/A,Wetland,N,Flow through,1988,Finland,0.5,65.72550092,26.00136841,monthly,15,1,2.4,Water,Constant,Constant,,Long-term purification efficiency of a wetland constructed to treat runoff from peat extraction,0.3,47,0.19,Kompsasuo Peat Extraction Area,Kompsasuo Peat Extraction Area,3
Karjaleinen 2016,"Long-term accumulation and retention of Al, Fe and P in peat soils of northern treatment wetlands",10.1016/j.ecoleng.2016.05.004,Kompsasuo,Palustrine,Emergent,Seasonally Flooded/Saturated,N,Acid,Organic,Peat extraction,Wastewater,1,Wetland,N,Flow through,1990,Finland,,65.73348847,25.95023293,monthly,17,17,2.2,Water,Constant,Constant,"Has some sediment data, but not in clear enough units to include","Long-term accumulation and retention of Al, Fe and P in peat soils of northern treatment wetlands",0.96,46,0.44,Kompsasuo,Kompsasuo,1
Karjaleinen 2016,"Long-term accumulation and retention of Al, Fe and P in peat soils of northern treatment wetlands",,Puutiosuo,Palustrine,Emergent,Seasonally Flooded/Saturated,N,Neutral,Organic,Peat extraction,Wastewater,1,Wetland,N,Flow through,1990,Finland,,65.70006179,26.04996781,monthly,17,17,6,Water,Constant,Constant,,"Long-term accumulation and retention of Al, Fe and P in peat soils of northern treatment wetlands",NA,NA,NA,Puutiosuo,Puutiosuo,1
Kasak 2018,Efficiency of a newly established in-stream constructed wetland treating diffuse agricultural pollution,10.1016/j.ecoleng.2018.05.015,Vanda Constructed Wetland,Palustrine,Emergent,Permanently Flooded,N,Neutral,No data,,Stream/River,2,Floodplain,N,Flow through,2017,Estonia,2.2,58.28338404,26.71664524,biweekly,2,1,0.61,Water,Constant,Constant,Discharge data is available in figure 2 but would be a pain to strip out,Efficiency of a newly established in-stream constructed wetland treating diffuse agricultural pollution,12.15,14.4,1.75,Vanda Constructed Wetland,Vanda Constructed Wetland,2
Kieckbusch 2007,‘Nitrogen and phosphorus dynamics of a rewetted shallow-flooded peatland,,West poldor,Palustrine,Aquatic Bed,Seasonally Flooded/Saturated,N,No data,Organic,,Runoff,1,Wetland,N,,2000,Germany,,54.24,10.23,bimonthly,3,7,22,Water,Constant,Constant,,‘Nitrogen and phosphorus dynamics of a rewetted shallow-flooded peatland,0.08,-412.5,-0.33,West poldor,West poldor,3
Kieckbusch 2007,‘Nitrogen and phosphorus dynamics of a rewetted shallow-flooded peatland,,East poldor,Palustrine,Aquatic Bed,Seasonally Flooded/Saturated,N,No data,Organic,,Runoff,2,Wetland,N,,2002,Germany,,54.25,10.24,bimonthly,1,7,22,Water,Constant,Constant,,‘Nitrogen and phosphorus dynamics of a rewetted shallow-flooded peatland,5.3,-43.4,-2.3,East poldor,East poldor,3
Kiedrzynska 2017,‘The use of a hybrid Sequential Biofiltration System for the improvement of nutrient removal and PCB control in municipal wastewater,,SBS,Palustrine,Emergent,Permanently Flooded,N,Neutral,Mixed,WWT,Wastewater,7,Urban,N,,2012,"Poland, Central Poland",,51.30222,19.64583,weekly,1,1,0.0061,Water,Constant,Constant,,‘The use of a hybrid Sequential Biofiltration System for the improvement of nutrient removal and PCB control in municipal wastewater,2273.77,18.4,418.37,SBS,SBS,1
Kill 2018,Treatment Efficiency of Diffuse Agricultural Pollution in a Constructed Wetland Impacted by Groundwater Seepage,10.3390/w10111601,Vända CW,Palustrine,Emergent,Permanently Flooded,N,Alkaline,Mineral,,Stream/River,2,Agriculture,N,,2017,Estonia,2.2,58.28336712,26.71668816,biweekly,2,1,0.45,Water,NA,NA,Wetland system (two wetlands) overall performance; area for individual wetlands not provided,Treatment Efficiency of Diffuse Agricultural Pollution in a Constructed Wetland Impacted by Groundwater Seepage,NA,29.41,NA,Vända CW,Vända CW,2
Kill 2022,Phosphorus removal efficiency by in-stream constructed wetlands treating agricultural runoff: Influence of vegetation and design,10.1016/j.ecoleng.2022.106664,Vända,Palustrine,Emergent,Permanently Flooded,N,No data,No data,,Stream/River,2,Floodplain,N,Flow through,2017,Estonia,2.2,58.28253382,26.72191221,biweekly,2,5,0.506,Water,NA,NA,,Phosphorus removal efficiency by in-stream constructed wetlands treating agricultural runoff: Influence of vegetation and design,NA,11.19,NA,Vända,Vända,2
Kill 2022,Phosphorus removal efficiency by in-stream constructed wetlands treating agricultural runoff: Influence of vegetation and design,,Rantamo-Seitteli,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,No data,,Stream/River,2,Floodplain,Y,Flow through,2010,Finland,19.2,60.43789952,24.37474366,NA,,,249.6,Water,NA,NA,,Phosphorus removal efficiency by in-stream constructed wetlands treating agricultural runoff: Influence of vegetation and design,NA,14.12,0.66,Rantamo-Seitteli,Rantamo-Seitteli,2
Kill 2022,Phosphorus removal efficiency by in-stream constructed wetlands treating agricultural runoff: Influence of vegetation and design,,Nummela Gateway,Palustrine,Emergent,Permanently Flooded,N,No data,No data,,Stream/River,2,Floodplain,Y,Flow through,2012,Finland,5.5,60.32785744,24.33720074,NA,,,0.55,Water,NA,NA,,Phosphorus removal efficiency by in-stream constructed wetlands treating agricultural runoff: Influence of vegetation and design,NA,8.25,NA,Nummela Gateway,Nummela Gateway,2
Kill 2022,Phosphorus removal efficiency by in-stream constructed wetlands treating agricultural runoff: Influence of vegetation and design,,Mezaciruli,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,No data,,Stream/River,1,Floodplain,N,Flow through,2015,Latvia,0.747,56.57226355,23.49471147,monthly,,,0.3735,Water,NA,NA,,Phosphorus removal efficiency by in-stream constructed wetlands treating agricultural runoff: Influence of vegetation and design,NA,NA,NA,Mezaciruli,Mezaciruli,2
Kim 2010,Removal of Nitrogen and Phosphorus from Effluent of a Secondary Wastewater Treatment Plant Using a Pond-Marsh Wetland System,10.1007/s11270-010-0399-8,Nanji Wastewater Treatment Plant Pond,Palustrine,Aquatic Bed,Permanently Flooded,Y,Alkaline,Mineral,WWT,Wastewater,1,Urban,N,Flow through,2001,Korea,NA,37.59182243,127.8443918,weekly,1,2,0.88,Water,Constant,Constant,,Removal of Nitrogen and Phosphorus from Effluent of a Secondary Wastewater Treatment Plant Using a Pond-Marsh Wetland System,NA,0.19,NA,Nanji Wastewater Treatment Plant Pond,Nanji Wastewater Treatment Plant Pond,1
Kim 2010,Removal of Nitrogen and Phosphorus from Effluent of a Secondary Wastewater Treatment Plant Using a Pond-Marsh Wetland System,,Nanji Wastewater Treatment Plant Marsh,Palustrine,Emergent,Permanently Flooded,Y,Alkaline,Mineral,WWT,Wastewater,1,Urban,N,Flow through,2001,Korea,NA,37.59182243,127.8443918,weekly,1,2,0.55,Water,Constant,Constant,,Removal of Nitrogen and Phosphorus from Effluent of a Secondary Wastewater Treatment Plant Using a Pond-Marsh Wetland System,NA,0.14,NA,Nanji Wastewater Treatment Plant Marsh,Nanji Wastewater Treatment Plant Marsh,1
Kim 2014,Performance evaluation of partially saturated vertical-flow constructed wetland with trickling filter and chemical precipitation for domestic and winery wastewaters treatment,10.1016/j.ecoleng.2014.07.045,Vercia WWTP,Palustrine,Emergent,Saturated,Y,Alkaline,No data,WWT,Wastewater,NA,Urban,Pooled Samples (autosampler)),Flow through,2004,France,,46.597,5.451,seasonally,1,8,0.06,Water,NA,NA,,Performance evaluation of partially saturated vertical-flow constructed wetland with trickling filter and chemical precipitation for domestic and winery wastewaters treatment,404.54,59.6,241.11,Vercia WWTP,Vercia WWTP,1
Kizuka 2023,Hydrological environment affects the nutrient retention and runoff function of naturally re-wetted agricultural peatland in lowland river floodplain,10.1016/j.scitotenv.2022.159483,Kushiro Mire,Riverine - Lower Perennial,Emergent,Seasonally Flooded/Saturated,N,Neutral,Organic,,Stream/River,NA,Agriculture,NA,Floodplain,2016,Japan,100,43.10111,144.392,monthly,16,2,24,Water,Linear Interpolation,Linear Interpolation,,Hydrological environment affects the nutrient retention and runoff function of naturally re-wetted agricultural peatland in lowland river floodplain,0.77,-33,-0.25,Kushiro Mire,Kushiro Mire,3
Klemencic 2011,RUN-OFF TREATMENT OF HIGHLY FLUCTUATING WATERS WITH SUBSURFACE VEGETATED DRAINAGE DITCH AND RIVER BED WITH MEANDERS,,Vegetated Drainage System,Palustrine,Emergent,Permanently Flooded,N,Neutral,No data,WWT,Wastewater,NA,Wetland,N,Flow through,2006,Slovenia,,46.06561254,14.45322093,monthly,1,2,0.025,Water,NA,NA,,RUN-OFF TREATMENT OF HIGHLY FLUCTUATING WATERS WITH SUBSURFACE VEGETATED DRAINAGE DITCH AND RIVER BED WITH MEANDERS,70.65,14,11.3,Vegetated Drainage System,Vegetated Drainage System,1
Ko 2011,The correlations between system treatment efficiencies and aboveground emergent macrophyte nutrient removal for the Hsin-Hai Bridge phase II constructed wetland,10.1016/j.biortech.2010.10.128,Hsin-Hai Bridge Phase II Constructed Wetland,Palustrine,Emergent,Permanently Flooded,Y,No data,No data,,Runoff,NA,Floodplain,N,Flow through,2006,Taiwan,,25.03201243,121.4568908,monthly,1,1,3.29,Water,Constant,Constant,"Don't report TP inflow concentrations, only removal",The correlations between system treatment efficiencies and aboveground emergent macrophyte nutrient removal for the Hsin-Hai Bridge phase II constructed wetland,0,,0,Hsin-Hai Bridge Phase II Constructed Wetland,Hsin-Hai Bridge Phase II Constructed Wetland,3
Korkusuz 2005,Comparison of the treatment performances of blast furnace slag-based and gravel-based vertical flow wetlands operated identically for domestic wastewater treatment in Turkey,10.1016/j.ecoleng.2004.10.002,Gravel wetland,Palustrine,Emergent,Saturated,Y,Neutral,Mineral,WWT,Wastewater,2,Urban,N,Flow through,2002,Turkey,,39.89086,32.77946,bimonthly,1,1,0.003,Water,NA,NA,,Comparison of the treatment performances of blast furnace slag-based and gravel-based vertical flow wetlands operated identically for domestic wastewater treatment in Turkey,224,4.3,9.63,Gravel wetland,Gravel wetland,1
Korkusuz 2005,Comparison of the treatment performances of blast furnace slag-based and gravel-based vertical flow wetlands operated identically for domestic wastewater treatment in Turkey,,Slag wetland,Palustrine,Emergent,Saturated,Y,Neutral,Mineral,WWT,Wastewater,2,Urban,N,Flow through,2002,Turkey,,39.89086,32.77946,bimonthly,1,1,0.003,Water,NA,NA,,Comparison of the treatment performances of blast furnace slag-based and gravel-based vertical flow wetlands operated identically for domestic wastewater treatment in Turkey,224.11,44.86,100.54,Slag wetland,Slag wetland,1
Koskiaho 2003,Retaining agricultural nutrients in constructed wetlands - experiences under boreal conditions,,Flyttrask,Palustrine,Emergent,Seasonally Flooded,N,No data,No data,,Runoff,N/A,Lake,N,Flow through,1998,Finland,,60.13333862,24.08330111,weekly,15,2,2000,Water,Linear Interpolation,Linear Interpolation,,Retaining agricultural nutrients in constructed wetlands - experiences under boreal conditions,0,14.5,0,Flyttrask,Flyttrask,3
Koskiaho 2003,Retaining agricultural nutrients in constructed wetlands - experiences under boreal conditions,,Alastaro,Palustrine,Emergent,Seasonally Flooded,N,No data,No data,,Runoff,N/A,Agriculture,N,Flow through,1998,Finland,,60.93342189,22.9333333,weekly,2,2,90,Water,Linear Interpolation,Linear Interpolation,,Retaining agricultural nutrients in constructed wetlands - experiences under boreal conditions,0,6.5,0,Alastaro,Alastaro,3
Koskiaho 2003,Retaining agricultural nutrients in constructed wetlands - experiences under boreal conditions,10.1016/S0925-8574(03)00006-5,Hovi,Palustrine,Emergent,Seasonally Flooded,N,No data,No data,,Runoff,N/A,Agriculture,N,Flow through,1999,Finland,,60.41675672,24.36663451,weekly,1,2,12,Water,Linear Interpolation,Linear Interpolation,,Retaining agricultural nutrients in constructed wetlands - experiences under boreal conditions,5.4,55,1.69,Hovi,Hovi,3
Kovacic 2006,Use of created wetlands to improve water quality in the Midwest—Lake Bloomington case study,,W 1,Palustrine,Emergent,Seasonally Flooded,N,No data,Mineral,,Runoff,1,Agriculture,Pooled Samples (autosampler)),,1998,"US, Illinois",3.76,40.629,-88.92,daily,1,3,0.16,Water,ISCO,ISCO,,Use of created wetlands to improve water quality in the Midwest—Lake Bloomington case study,1.31,57.1,0.75,W 1,W 1,3
Kovacic 2006,Use of created wetlands to improve water quality in the Midwest—Lake Bloomington case study,,W 2,Palustrine,Emergent,Seasonally Flooded,N,No data,Mineral,,Runoff,1,Agriculture,Pooled Samples (autosampler)),,1998,"US, Illinois",13.3,40.629,-88.92,daily,1,3,0.4,Water,ISCO,ISCO,,Use of created wetlands to improve water quality in the Midwest—Lake Bloomington case study,1.68,49.3,0.83,W 2,W 2,3
Kovacik 2000,Effectiveness of Constructed Wetlands in Reducing Nitrogen and Phosphorus Export from Agricultural Tile Drainage,,WB,Palustrine,Unconsolidated Bottom,Seasonally Flooded,N,No data,No data,,Runoff,1,Agriculture,Pooled Samples (autosampler)),,1995,"US, Illinois",5,39.913,-88.193,daily,1,3,0.3,Water,ISCO,ISCO,,Effectiveness of Constructed Wetlands in Reducing Nitrogen and Phosphorus Export from Agricultural Tile Drainage,0.5,80,0.4,WB,WB,3
Kovacik 2000,Effectiveness of Constructed Wetlands in Reducing Nitrogen and Phosphorus Export from Agricultural Tile Drainage,,WD,Palustrine,Unconsolidated Bottom,Seasonally Flooded,N,No data,No data,,Runoff,1,Agriculture,Pooled Samples (autosampler)),,1995,"US, Illinois",25,39.913,-88.193,daily,1,3,0.8,Water,ISCO,ISCO,,Effectiveness of Constructed Wetlands in Reducing Nitrogen and Phosphorus Export from Agricultural Tile Drainage,0.6,14.6,0.09,WD,WD,3
Kovacik 2000,Effectiveness of Constructed Wetlands in Reducing Nitrogen and Phosphorus Export from Agricultural Tile Drainage,,WA,Palustrine,Unconsolidated Bottom,Seasonally Flooded,N,No data,No data,,Runoff,1,Agriculture,Pooled Samples (autosampler)),,1995,"US, Illinois",15,39.913,-88.193,daily,1,3,0.6,Water,ISCO,ISCO,,Effectiveness of Constructed Wetlands in Reducing Nitrogen and Phosphorus Export from Agricultural Tile Drainage,0.9,16.7,0.15,WA,WA,3
Kranvang 2007,Water exchange and deposition of sediment and phosphorus during inundation of natural and restored lowland floodplains,10.1007/s11270-006-9283-y,River Gjern Floodplain,Palustrine,Forested,Permanently Flooded,N,No data,No data,,Stream/River,N/A,Floodplain,N,Floodplain,2002,Denmark,,56.29978856,9.677944927,sediment,NA,1,0.85,Sediment,NA,NA,Percent removal is calculated based on the annual sediment budget for that wetland. This removal is for a single flood event.,Water exchange and deposition of sediment and phosphorus during inundation of natural and restored lowland floodplains,NA,4.1,7.3,River Gjern Floodplain,River Gjern Floodplain,2
Kranvang 2007,Water exchange and deposition of sediment and phosphorus during inundation of natural and restored lowland floodplains,,River Skjern Floodplain,Palustrine,Forested,Permanently Flooded,N,No data,No data,,Stream/River,N/A,Floodplain,N,Floodplain,2002,Denmark,,55.94749151,8.576032243,sediment,NA,1,450,Sediment,NA,NA,Percent removal is calculated based on the annual sediment budget for that wetland. This removal is for a single flood event.,Water exchange and deposition of sediment and phosphorus during inundation of natural and restored lowland floodplains,NA,4,1.2,River Skjern Floodplain,River Skjern Floodplain,2
Kranvang 2007,Water exchange and deposition of sediment and phosphorus during inundation of natural and restored lowland floodplains,,River Odense Floodplain,Palustrine,Forested,Permanently Flooded,N,No data,No data,,Stream/River,N/A,Floodplain,N,Floodplain,2002,Denmark,,55.21902261,10.30686219,sediment,NA,1,22.6,Sediment,NA,NA,Percent removal is calculated based on the annual sediment budget for that wetland. This removal is for a single flood event.,Water exchange and deposition of sediment and phosphorus during inundation of natural and restored lowland floodplains,NA,NA,NA,River Odense Floodplain,River Odense Floodplain,2
